id	name	source
41251	Regulation of the Fanconi anemia pathway	Reactome
41252	Viral mRNA Translation	Reactome
41253	Hydrolysis of cytosolic nucleoside 5'-monophosphates by 5'-nucleotidase cytosolic IB	Reactome
41254	Activation of BH3-only proteins	Reactome
41255	Hydrolysis of cytosolic nucleoside 5'-monophosphates by 5'-nucleotidase cytosolic II	Reactome
41256	Synthesis of Ketone Bodies	Reactome
41257	RNA Polymerase II Promoter Escape	Reactome
41258	Inhibition of IFN-beta	Reactome
41259	dGTP formation	Reactome
41260	Proton/oligonucleotide cotransporters	Reactome
41261	Vitamin C (ascorbate) metabolism	Reactome
41262	eNOS activation	Reactome
41263	Phosphorylation of nucleosides to form nucleoside 5'-monophosphates	Reactome
41264	Regulation of Lipid Metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)	Reactome
41265	Complement cascade	Reactome
41266	Cyclin E associated events during G1/S transition	Reactome
41267	Toll Like Receptor TLR6:TLR2 Cascade	Reactome
41268	RNA Polymerase III Transcription Initiation From Type 2 Promoter	Reactome
41269	Late Phase of HIV Life Cycle	Reactome
41270	Conjugation of carboxylic acids	Reactome
41271	MEK activation	Reactome
41272	ATM mediated response to DNA double-strand break	Reactome
41273	Depolarization of the Presynaptic Terminal Triggers the Opening of Calcium Channels	Reactome
41274	Beta-oxidation of very long chain fatty acids	Reactome
41275	Calcitonin-like ligand receptors	Reactome
41276	NICD trafficks to nucleus	Reactome
41277	Glucose metabolism	Reactome
41278	Formation of incision complex in GG-NER	Reactome
41279	HIV-1 Transcription Pre-Initiation	Reactome
41280	Pausing and recovery of HIV-1 elongation	Reactome
41281	Serotonin and melatonin biosynthesis	Reactome
41282	Repair synthesis of patch ~27-30 bases long  by DNA polymerase	Reactome
41283	P450 oxidation	Reactome
41284	Estrogen biosynthesis	Reactome
41285	CD28 co-stimulation	Reactome
41286	Endogenous sterols	Reactome
41287	DARPP-32 events	Reactome
41288	TRAIL  signaling	Reactome
41289	Class C/3 (Metabotropic glutamate/pheromone receptors)	Reactome
41290	Nuclear Receptor transcription pathway	Reactome
41291	Eicosanoids	Reactome
41292	Regulation of gene expression in early pancreatic precursor cells	Reactome
41293	Mitotic Prometaphase	Reactome
41294	Bicarbonate transporters	Reactome
41295	Minus-strand DNA synthesis	Reactome
41296	Acetate, ATP, and coenzyme A react to form acetyl CoA, AMP, and pyrophosphate	Reactome
41297	Cap-dependent Translation Initiation	Reactome
41298	Phase 1 - Functionalization of compounds	Reactome
41299	Regulation of Insulin Secretion	Reactome
41300	Budding	Reactome
41301	Gamma-carboxylation, transport, and amino-terminal cleavage of proteins	Reactome
41302	Post-Elongation Processing of Intron-Containing pre-mRNA	Reactome
41303	Collagen adhesion via Gp IV	Reactome
41304	GTP hydrolysis and joining of the 60S ribosomal subunit	Reactome
41305	PLC-mediated hydrolysis of PIP2	Reactome
41306	Synthesis of glycosylphosphatidylinositol (GPI)	Reactome
41307	Norepinephrine Neurotransmitter Release Cycle	Reactome
41308	Class II GLUTs	Reactome
41309	Association of TriC/CCT with target proteins during biosynthesis	Reactome
41310	Metabolism of amino acids	Reactome
41311	Thyroxine biosynthesis	Reactome
41312	Cyclin A:Cdk2-associated events at S phase entry	Reactome
41313	COPI Mediated Transport	Reactome
41314	Vitamin B2 (riboflavin) metabolism	Reactome
41315	Nuclear Events (kinase and transcription factor activation)	Reactome
41316	Pyrimidine metabolism	Reactome
41317	Transport of connexins along the secretory pathway	Reactome
41318	Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components	Reactome
41319	CD28 dependent Vav1 pathway	Reactome
41320	Coenzyme A biosynthesis	Reactome
41321	Telomere C-strand (Lagging Strand) Synthesis	Reactome
41322	FGFR1b ligand binding and activation	Reactome
41323	Cell Cycle, Mitotic	Reactome
41324	Orexin and neuropeptides FF and QRFP bind to their respective receptors	Reactome
41325	Adrenaline signalling through Alpha-2 adrenergic receptor	Reactome
41326	BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members	Reactome
41327	Downstream TCR signaling	Reactome
41328	Formation of a pool of free 40S subunits	Reactome
41329	Dissolution of Fibrin Clot	Reactome
41330	Botulinum neurotoxicity	Reactome
41331	CDC6 association with the ORC:origin complex	Reactome
41332	Reduction of cytosolic ribonucleoside 5'-diphosphates to deoxyribonucleoside 5'-diphosphates by ribonucleotide reductase and thioredoxin	Reactome
41333	M/G1 Transition	Reactome
41334	Vitamins	Reactome
41335	Mal Cascade	Reactome
41336	RNA Polymerase I Chain Elongation	Reactome
41337	Propionyl-CoA catabolism	Reactome
41338	APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	Reactome
41339	Regulation of Apoptosis	Reactome
41340	Histidine catabolism	Reactome
41341	Oxidative decarboxylation of alpha-ketoadipate to glutaryl CoA by alpha-ketoglutarate dehydrogenase	Reactome
41342	RAF activation	Reactome
41343	Astrocytic Glutamate-Glutamine Uptake And Metabolism	Reactome
41344	Leukotriene receptors	Reactome
41345	Effects of PIP2 hydrolysis	Reactome
41346	Translesion synthesis by Pol eta	Reactome
41347	Gab1 signalosome	Reactome
41348	Autointegration results in viral DNA circles	Reactome
41349	mTORC1-mediated signalling	Reactome
41350	CDT1 association with the CDC6:ORC:origin complex	Reactome
41351	TRAF6 Mediated Induction of the antiviral cytokine IFN-alpha/beta cascade	Reactome
41352	APC-Cdc20 mediated degradation of Nek2A	Reactome
41353	Neurotransmitter Clearance In The Synaptic Cleft	Reactome
41354	Adenylate cyclase inhibitory pathway	Reactome
41355	Regulation of APC/C activators between G1/S and early anaphase	Reactome
41356	Metablism of nucleotides	Reactome
41357	Transport of Mature mRNA Derived from an Intronless Transcript	Reactome
41358	Ceramide signalling	Reactome
41359	Olfactory Signaling Pathway	Reactome
41360	Extension of Telomeres	Reactome
41361	RNA Polymerase I Transcription	Reactome
41362	SHC-related events	Reactome
41363	Glucose 6-phosphate is isomerized to form fructose-6-phosphate	Reactome
41364	Depurination	Reactome
41365	Cation-coupled Chloride cotransporters	Reactome
41366	Removal of aminoterminal propeptides from gamma-carboxylated proteins	Reactome
41367	G2/M DNA damage checkpoint	Reactome
41368	RNA Polymerase II Transcription Termination	Reactome
41369	Phosphorylation of mitochondrial nucleosides by deoxyguanosine kinase	Reactome
41370	Phase 1 functionalization	Reactome
41371	Generic Transcription Pathway	Reactome
41372	Beta oxidation of octanoyl-CoA to hexanoyl-CoA	Reactome
41373	Breakdown of hydrogen peroxide to water and molecular oxygen	Reactome
41374	Exocytosis of Dense granule	Reactome
41375	Reduction of cytosolic ribonucleoside 5'-diphosphates to deoxyribonucleoside 5'-diphosphates by ribonucleotide reductase and glutaredoxin	Reactome
41376	Hormone biosynthesis	Reactome
41377	Platelet Adhesion to exposed collagen	Reactome
41378	Binding and entry of HIV virion	Reactome
41379	Proteinase-activated receptor G (q) cascade	Reactome
41380	Proline catabolism	Reactome
41381	Degradation of beta-catenin by the destruction complex	Reactome
41382	Toll Receptor Cascades	Reactome
41383	Activation of AMPA receptors	Reactome
41384	FGFR3b ligand binding and activation	Reactome
41385	Retrograde neurotrophin signalling	Reactome
41386	NCAM signaling for neurite out-growth	Reactome
41387	Mitochondrial transcription initiation	Reactome
41388	Activation of NOXA and translocation to mitochondria	Reactome
41389	Sema4D induced cell migration and growth-cone collapse	Reactome
41390	Axonal growth stimulation	Reactome
41391	Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells	Reactome
41392	Gap-filling DNA repair synthesis and ligation in GG-NER	Reactome
41393	Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S	Reactome
41394	P450 Dehalogenation	Reactome
41395	Translocation of ZAP-70 to Immunological synapse	Reactome
41396	Activation of PKB	Reactome
41397	S6K1-mediated signalling	Reactome
41398	Reverse Transcription of HIV RNA	Reactome
41399	Conversion of Fatty Acyl-CoA to Phosphatidic Acid	Reactome
41400	Transcriptional activation of p53 responsive genes	Reactome
41401	Extrinsic Pathway for Apoptosis	Reactome
41402	Activation of BAD and translocation to mitochondria	Reactome
41403	Recycling of eIF2:GDP	Reactome
41404	Chylomicron-mediated lipid transport	Reactome
41405	Cyclin A/B1 associated events during G2/M transition	Reactome
41406	p75 NTR receptor-mediated signalling	Reactome
41407	Sodium/Proton exchangers	Reactome
41408	RNA Polymerase I Transcription Termination	Reactome
41409	Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes	Reactome
41410	RNA Polymerase I Transcription Initiation	Reactome
41411	Costimulation by the CD28 family	Reactome
41412	Resolution of D-loop structures	Reactome
41413	Formation of the HIV-1 Early Elongation Complex	Reactome
41414	HIV Infection	Reactome
41415	Reversible phosphorylation of cytosolic nucleoside diphosphates by nucleoside diphosphate kinase A,B heterohexamer	Reactome
41416	Autodegradation of Cdh1 by Cdh1:APC/C	Reactome
41417	Trafficking of dietary sterols	Reactome
41418	cRNA Synthesis	Reactome
41419	P450 Epoxidations	Reactome
41420	Alanine metabolism	Reactome
41421	Oxidative decarboxylation of alpha-ketoisocaproate to isovaleryl-CoA by branched-chain alpha-ketoacid dehydrogenase	Reactome
41422	Phosphorylation of cytosolic nucleosides by deoxycytidine kinase	Reactome
41423	Common Pathway	Reactome
41424	Regulation of Insulin-like Growth Factor (IGF) Activity by Insulin-like Growth Factor Binding Proteins (IGFBPs)	Reactome
41425	Packaging of Eight RNA Segments	Reactome
41426	Homologous Recombination Repair	Reactome
41427	Ester hydrolysis	Reactome
41428	Viral dsRNA:TLR3:TRIF Complex Activates TBK1	Reactome
41429	Reversible phosphorylation of cytosolic nucleoside diphosphates by nucleoside diphosphate kinase A hexamer	Reactome
41430	EGFR interacts with phospholipase C-gamma	Reactome
41431	Glucocorticoid biosynthesis	Reactome
41432	Triacylglyceride Biosynthesis	Reactome
41433	SHC activation	Reactome
41434	Homologous recombination repair of replication-independent double-strand breaks	Reactome
41435	Regulation of activated PAK-2p34 by proteasome mediated degradation	Reactome
41436	G2/M Transition	Reactome
41437	Folding of actin by CCT/TriC	Reactome
41438	FGFR2b ligand binding and activation	Reactome
41439	Insulin Synthesis and Secretion	Reactome
41440	Synthesis of bile acids and bile salts	Reactome
41441	Hypusine synthesis from eIF5A-lysine	Reactome
41442	Alpha-oxidation of phytanate	Reactome
41443	Nef mediated downregulation of MHC class I complex cell surface expression	Reactome
41444	Pyruvate metabolism and TCA cycle	Reactome
41445	Signalling to RAS	Reactome
41446	Grb2 events in EGFR signaling	Reactome
41447	Regulation of Insulin Secretion by Acetylcholine	Reactome
41448	Post-translational protein modification	Reactome
41449	Lectin pathway of complement activation	Reactome
41450	Role of Abl in Robo-Slit signaling	Reactome
41451	Downstream events in GPCR signaling	Reactome
41452	mRNA Splicing - Major Pathway	Reactome
41453	Attachment of GPI anchor to uPAR	Reactome
41454	Transcriptional activation of glucose metabolism genes by ChREBP:MLX	Reactome
41455	Prolonged ERK activation events	Reactome
41456	Transcription	Reactome
41457	Stabilization of p53	Reactome
41458	Transport of Mature Transcript to Cytoplasm	Reactome
41459	Aspartate, asparagine, glutamate, and glutamine metabolism	Reactome
41460	Golgi Associated Vesicle Biogenesis	Reactome
41461	Metabolism of nitric oxide	Reactome
41462	TCR signaling	Reactome
41463	PLC-gamma1 signalling	Reactome
41464	DNA Repair	Reactome
41465	Interactions of Rev with host cellular proteins	Reactome
41466	Formation of the active cofactor, UDP-glucuronate	Reactome
41467	ERK activation	Reactome
41468	Beta oxidation of myristoyl-CoA to lauroyl-CoA	Reactome
41469	Axonal growth inhibition (RHOA activation)	Reactome
41470	Mitochondrial transcription termination	Reactome
41471	The fatty acid cycling model	Reactome
41472	Xanthine formation	Reactome
41473	Mitochondrial Fatty Acid Beta-Oxidation	Reactome
41474	Activation, translocation and oligomerization of BAX	Reactome
41475	Glycoprotein hormones	Reactome
41476	PP2A-mediated dephosphorylation of key metabolic factors	Reactome
41477	Platelet degranulation	Reactome
41478	Transcriptional activation of lipogenesis genes by ChREBP:MLX	Reactome
41479	Formation of editosomes by ADAR proteins	Reactome
41480	Gluconeogenesis	Reactome
41481	S Phase	Reactome
41482	Transcription of the HIV genome	Reactome
41483	LDL endocytosis	Reactome
41484	Organic anion transporters	Reactome
41485	NF-kB is activated and signals survival	Reactome
41486	Debranching enzyme transfers 3-glucose blocks from branches in limit dextrin	Reactome
41487	Translesion synthesis by HREV1	Reactome
41488	Signaling by FGFR	Reactome
41489	Prostanoid hormones	Reactome
41490	Glycogen branching enzyme transfers terminal alpha(1,4)glucose blocks to form alpha(1,6) branches	Reactome
41491	Amine ligand-binding receptors	Reactome
41492	Host Interactions with Influenza Factors	Reactome
41493	Toll Like Receptor 2 Cascade	Reactome
41494	Apoptotic execution  phase	Reactome
41495	Packaging Of Telomere Ends	Reactome
41496	BoNT Light Chain Types B, D, and F cleave VAMP/Synaptobrevin	Reactome
41497	Orc1 removal from chromatin	Reactome
41498	Dopamine clearance from the synaptic cleft	Reactome
41499	Reduction of cytosolic ribonucleoside 5'-diphosphates to deoxyribonucleoside 5'-diphosphates (glutaredoxin)	Reactome
41500	Opsins	Reactome
41501	Glutathione conjugation	Reactome
41502	Glycogenin catalyzes the synthesis of an oligo(1,4)glucose moiety covalently attached to itself	Reactome
41503	Regulation of PAK-2p34 activity by PS-GAP/RHG10	Reactome
41504	Vitamin B1 (thiamin) metabolism	Reactome
41505	Activated TLR4 signalling	Reactome
41506	1,3-bisphosphoglycerate and ADP react to form 3-phosphoglycerate and ATP	Reactome
41507	Hypoxanthine formation	Reactome
41508	Ribosomal scanning and start codon recognition	Reactome
41509	Inhibition of TSC complex formation by PKB	Reactome
41510	Glycogen synthase catalyzes the addition of glucose residues to the non-reducing end of a (1,4)-alpha-D-glucose multimer	Reactome
41511	Insulin receptor signalling cascade	Reactome
41512	Diabetes pathways	Reactome
41513	Amine-derived hormones	Reactome
41514	P450 Hydroxylations	Reactome
41515	Polo-like kinase mediated events	Reactome
41516	Regulation of Insulin Secretion by Free Fatty Acids	Reactome
41517	Switching of origins to a post-replicative state	Reactome
41518	Association of licensing factors with the pre-replicative complex	Reactome
41519	Activation of PUMA and translocation to mitochondria	Reactome
41520	Assembly of the RAD51-ssDNA nucleoprotein complex	Reactome
41521	Apoptosis	Reactome
41522	Proteinase-activated receptor G (12/13) cascade	Reactome
41523	p53-Independent DNA Damage Response	Reactome
41524	Reversible phosphorylation of cytosolic nucleoside diphosphates by nucleoside diphosphate kinase B hexamer	Reactome
41525	Reversible phosphorylation of mitochondrial nucleoside monophosphates by adenylate kinase 2	Reactome
41526	Type II Na+/Pi cotransporters	Reactome
41527	Elongation and Processing of Capped Transcripts	Reactome
41528	Receptor-ligand binding initiates the second proteolytic cleavage of Notch receptor	Reactome
41529	Signaling by GPCR	Reactome
41530	Pausing and recovery of Tat-mediated HIV-1 elongation	Reactome
41531	Purine metabolism	Reactome
41532	Carnitine synthesis	Reactome
41533	Lipoprotein metabolism	Reactome
41534	Dopamine Neurotransmitter Release Cycle	Reactome
41535	Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol	Reactome
41536	SHC-mediated signalling	Reactome
41537	PI3K Cascade	Reactome
41538	Processing of DNA ends prior to end rejoining	Reactome
41539	Transmission across Chemical Synapses	Reactome
41540	Formation of Platelet plug	Reactome
41541	Mitotic Prophase	Reactome
41542	Sodium/Calcium exchangers	Reactome
41543	Inhibition of HSL	Reactome
41544	Lagging Strand Synthesis	Reactome
41545	p53-Dependent G1/S DNA damage checkpoint	Reactome
41546	Sema4D mediated inhibition of cell attachment and migration	Reactome
41547	Ornithine and proline metabolism	Reactome
41548	Signalling to ERKs	Reactome
41549	NGF processing	Reactome
41550	Beta-catenin phosphorylation cascade	Reactome
41551	Biotin metabolism	Reactome
41552	Transport of gamma-carboxylated protein precursors from the endoplasmic reticulum to the Golgi apparatus	Reactome
41553	Formation of HIV-1 elongation complex containing HIV-1 Tat	Reactome
41554	Inositol transporters	Reactome
41555	Cdc20:Phospho-APC/C mediated degradation of Cyclin A	Reactome
41556	Polyamines are oxidized to amines, aldehydes and H2O2 by PAOs	Reactome
41557	Telomere Maintenance	Reactome
41558	Metabolism of vitamins and cofactors	Reactome
41559	Conversion of cytosolic inosine 5'-monophosphate, L-aspartate, and GTP to adenylosuccinate, guanosine 5'-diphosphate, and orthophosphate	Reactome
41560	CaM pathway	Reactome
41561	Cytochrome c-mediated apoptotic response	Reactome
41562	Cytochrome P450 - arranged by substrate type	Reactome
41563	Gap junction trafficking	Reactome
41564	p38MAPK events	Reactome
41565	Assembly of the RAD50-MRE11-NBS1 complex at DNA double-strand breaks	Reactome
41566	trans-Golgi Network Vesicle Budding	Reactome
41567	Activation of BIM and translocation to mitochondria	Reactome
41568	Transport of the SLBP independent Mature mRNA	Reactome
41569	APC/C:Cdc20 mediated degradation of Securin	Reactome
41570	FGFR2c ligand binding and activation	Reactome
41571	Pentose phosphate pathway (hexose monophosphate shunt)	Reactome
41572	Proteolytic cleavage of SNARE complex proteins	Reactome
41573	Prefoldin mediated transfer of substrate  to CCT/TriC	Reactome
41574	Inhibition of Interferon Synthesis	Reactome
41575	Entry of Influenza Virion into Host Cell via Endocytosis	Reactome
41576	Leukotriene synthesis	Reactome
41577	Transport of HA trimer, NA tetramer and M2 tetramer from the endoplasmic reticulum to the Golgi Apparatus	Reactome
41578	Vitamin D (calciferol) metabolism	Reactome
41579	Mitochondrial Uncoupling Proteins	Reactome
41580	Uncoating of the Influenza Virion	Reactome
41581	FGFR1 ligand binding and activation	Reactome
41582	HDL-mediated lipid transport	Reactome
41583	CDK-mediated phosphorylation and removal of Cdc6	Reactome
41584	Down-stream signal transduction	Reactome
41585	Presynaptic phase of homologous DNA pairing and strand exchange	Reactome
41586	Leucine catabolism	Reactome
41587	Peroxisomal lipid metabolism	Reactome
41588	Double-Strand Break Repair	Reactome
41589	Gene Expression	Reactome
41590	Creation of C4 and C2 activators	Reactome
41591	DNA Damage Bypass	Reactome
41592	Synthesis of phosphatidic acid from lysophosphatidic acid	Reactome
41593	Na+-dependent glucose transporters	Reactome
41594	Metabolism of proteins	Reactome
41595	Phosphorylation of CD3 and TCR zeta chains	Reactome
41596	Regulated proteolysis of p75NTR	Reactome
41597	Sterols are 12-hydroxylated by CYP8B1	Reactome
41598	p53-Dependent G1 DNA Damage Response	Reactome
41599	M Phase	Reactome
41600	Integration of provirus	Reactome
41601	Transport of Ribonucleoproteins into the Host Nucleus	Reactome
41602	Processing of DNA double-strand break ends	Reactome
41603	Activation of the pre-replicative complex	Reactome
41604	p75NTR recruits signalling complexes	Reactome
41605	Vpr-mediated nuclear import of PICs	Reactome
41606	Activation and oligomerization of BAK protein	Reactome
41607	Recycling of bile acids and salts	Reactome
41608	Synaptic Transmission	Reactome
41609	Phosphorylation of the APC/C	Reactome
41610	Transmembrane transport of small molecules	Reactome
41611	Glucose is carried across the plasma membrane by a glucose transport protein (GLUT)	Reactome
41612	G1 Phase	Reactome
41613	Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA	Reactome
41614	ABH3 mediated Reversal of Alkylation Damage	Reactome
41615	Signaling by EGFR	Reactome
41616	Virus Assembly and Release	Reactome
41617	Glucose + ATP = glucose-6-phosphate + ADP	Reactome
41618	Signalling by NGF	Reactome
41619	Reversible phosphorylation of nucleoside diphosphates	Reactome
41620	Phosphorylation of cytosolic nucleosides by thymidine kinase 1, soluble	Reactome
41621	Viral dsRNA:TLR3:TRIF Complex Activates RIP1	Reactome
41622	Dopamine receptors	Reactome
41623	RNA Polymerase II Transcription Pre-Initiation	Reactome
41624	LPS transferred from LBP carrier to CD14	Reactome
41625	Glutathione synthesis	Reactome
41626	Neurophilin interactions with VEGF and VEGFR	Reactome
41627	Simple hydroxylation	Reactome
41628	Eukaryotic Translation Termination	Reactome
41629	Formation of transcription-coupled NER (TC-NER) repair complex	Reactome
41630	Frs2-mediated activation	Reactome
41631	Activation of Pro-Caspase 8	Reactome
41632	Neuroransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell	Reactome
41633	Calmodulin induced events	Reactome
41634	Urea synthesis	Reactome
41635	Conjugation of salicylate with glycine	Reactome
41636	ATM mediated phosphorylation of repair proteins	Reactome
41637	Platelet activation triggers	Reactome
41638	IRS activation	Reactome
41639	Nucleotide Excision Repair	Reactome
41640	Removal of licensing factors from origins	Reactome
41641	CaMK IV-mediated phosphorylation of CREB	Reactome
41642	Tie2 Signaling	Reactome
41643	Activation of Chaperones by ATF6-alpha	Reactome
41644	NOSTRIN mediated eNOS trafficking	Reactome
41645	Protein folding	Reactome
41646	Purine biosynthesis	Reactome
41647	Gamma-carboxylation of protein precursors	Reactome
41648	BoNT Light Chain Types A, C1, E cleave SNAP-25	Reactome
41649	Uncoating of the HIV Virion	Reactome
41650	Lysosphingolipid and LPA receptors	Reactome
41651	Monoamines are oxidized to aldehydes by MAOA and MAOB, producing NH3 and H2O2	Reactome
41652	Activation of DNA fragmentation factor	Reactome
41653	Displacement of DNA glycosylase by  APE1	Reactome
41654	Rho GTPase cycle	Reactome
41655	Release	Reactome
41656	Nicotinate metabolism	Reactome
41657	Fusion of the Influenza Virion to the Host Cell Endosome	Reactome
41658	Cleavage of the damaged purine	Reactome
41659	G-protein activation	Reactome
41660	Cytosolic sulfonation of small molecules	Reactome
41661	Formation of PAPS	Reactome
41662	Deoxyribonucleotide salvage	Reactome
41663	Cyclin D associated events in G1	Reactome
41664	Metabolism of water-soluble vitamins and cofactors	Reactome
41665	NADPH regeneration	Reactome
41666	Viral RNP Complexes in the Host Cell Nucleus	Reactome
41667	AMPK inhibits chREBP transcriptional activation activity	Reactome
41668	Formation of the Editosome	Reactome
41669	Signaling by TGF beta	Reactome
41670	Activation of ATR in response to replication stress	Reactome
41671	Transcriptional  activation of  cell cycle inhibitor p21	Reactome
41672	ChREBP activates metabolic gene expression	Reactome
41673	CRMPs in Sema3A signaling	Reactome
41674	Classical antibody-mediated complement activation	Reactome
41675	Platelet Activation	Reactome
41676	A third proteolytic cleavage releases NICD	Reactome
41677	Reversible phosphorylation of cytosolic nucleoside monophosphates by adenylate kinase 1	Reactome
41678	Proline synthesis	Reactome
41679	Gap junction trafficking and regulation	Reactome
41680	Mitochondrial tRNA aminoacylation	Reactome
41681	vRNA Synthesis	Reactome
41682	Ubiquitin-dependent degradation of Cyclin D1	Reactome
41683	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	Reactome
41684	Post-chaperonin tubulin folding pathway	Reactome
41685	G alpha (s) signalling events	Reactome
41686	Integration of viral DNA into host genomic DNA	Reactome
41687	Signalling to p38 via RIT and RIN	Reactome
41688	Beta oxidation of butanoyl-CoA to acetyl-CoA	Reactome
41689	G1/S Transition	Reactome
41690	Amino acid and oligopeptide SLC transporters	Reactome
41691	Phase II conjugation	Reactome
41692	Acetylcholine Neurotransmitter Release Cycle	Reactome
41693	PKA activation in glucagon signalling	Reactome
41694	Cell-cell adhesion systems	Reactome
41695	Homologous DNA pairing and strand exchange	Reactome
41696	Formation of tubulin folding intermediates by CCT/TriC	Reactome
41697	Activation of TRKA receptors	Reactome
41698	Digestion of dietary carbohydrate	Reactome
41699	Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex	Reactome
41700	FGFR3c ligand binding and activation	Reactome
41701	Inhibition of Insulin Secretion by Adrenaline/Noradrenaline	Reactome
41702	Reduction of nuclear ribonucleoside 5'-diphosphates to deoxyribonucleoside 5'-diphosphates (thioredoxin)	Reactome
41703	Xenobiotics	Reactome
41704	Golgi Cisternae Pericentriolar Stack Reorganization	Reactome
41705	RNA Polymerase II Transcription	Reactome
41706	Reduction of nuclear ribonucleoside 5'-diphosphates to deoxyribonucleoside 5'-diphosphates by ribonucleotide reductase and thioredoxin	Reactome
41707	ERK2 activation	Reactome
41708	Cytochrome p450	Reactome
41709	Toll Like Receptor 4 (TLR4) Cascade	Reactome
41710	RNA Polymerase III Transcription Termination	Reactome
41711	p130Cas linkage to MAPK signaling for integrins	Reactome
41712	RNA Polymerase I Promoter Escape	Reactome
41713	Intrinsic Pathway	Reactome
41714	Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane	Reactome
41715	Effects on Ca++ levels	Reactome
41716	Thrombin-mediated activation of PARs	Reactome
41717	DNA Replication Pre-Initiation	Reactome
41718	Synthesis of GPI-anchored proteins	Reactome
41719	Caspase-mediated cleavage of cytoskeletal proteins	Reactome
41720	Activation of C3 and C5	Reactome
41721	Vpr-mediated induction of apoptosis by mitochondrial outer membrane permeabilization	Reactome
41722	Plus-strand DNA synthesis	Reactome
41723	RNA Polymerase I Promoter Clearance	Reactome
41724	Recruitment of mitotic centrosome proteins and complexes	Reactome
41725	Heme biosynthesis	Reactome
41726	Reversible phosphorolysis of pyrimidine nucleosides	Reactome
41727	Centrosome maturation	Reactome
41728	Chemokine receptors bind chemokines	Reactome
41729	Translesion synthesis by DNA polymerases bypassing lesion on DNA template	Reactome
41730	Phenylalanine and tyrosine catabolism	Reactome
41731	Ethanol catabolism	Reactome
41732	Base-free sugar-phosphate removal via the single-nucleotide replacement pathway	Reactome
41733	Acetylation	Reactome
41734	Cholesterol biosynthesis	Reactome
41735	2-LTR circle formation	Reactome
41736	Formation of Cytosolic Glycerol-3-phosphate	Reactome
41737	Hexose uptake	Reactome
41738	Nef and signal transduction	Reactome
41739	Death Receptor  Signalling	Reactome
41740	Mitotic Metaphase/Anaphase Transition	Reactome
41741	Digestion of dietary lipid	Reactome
41742	Reduction of cytosolic ribonucleoside 5'-diphosphates to deoxyribonucleoside 5'-diphosphates (thioredoxin)	Reactome
41743	Creatine metabolism	Reactome
41744	Cell Cycle Checkpoints	Reactome
41745	VEGF binds to VEGFR leading to receptor dimerization	Reactome
41746	P450 Prostaglandin isomerizations	Reactome
41747	p75NTR signals via NF-kB	Reactome
41748	Processive synthesis on the C-strand of the telomere	Reactome
41749	ERKs are inactivated	Reactome
41750	Glyoxylate metabolism	Reactome
41751	Influenza Life Cycle	Reactome
41752	Regulation of Insulin Secretion by Fatty Acids Bound to GPR40 (FFAR1)	Reactome
41753	The role of Nef in HIV-1 replication and disease pathogenesis	Reactome
41754	Sema4D in semaphorin signaling	Reactome
41755	RNA Polymerase III Chain Elongation	Reactome
41756	Transcription-coupled NER (TC-NER)	Reactome
41757	CTLA4 inhibitory signaling	Reactome
41758	Citric acid cycle (TCA cycle)	Reactome
41759	Reversal of Alkylation Damage By DNA Dioxygenases	Reactome
41760	Ribonucleotide salvage	Reactome
41761	Peptide chain elongation	Reactome
41762	Polymerase switching	Reactome
41763	p75NTR negatively regulates cell cycle via SC1	Reactome
41764	Apoptotic factor-mediated response	Reactome
41765	(1,6)-alpha-glucose residues are removed, as D-glucose, from limit dextrin by debranching enzyme	Reactome
41766	c-src mediated regulation of Cx43 function and closure of gap junctions	Reactome
41767	Oxidative decarboxylation of alpha-ketoglutarate to succinyl CoA by alpha-ketoglutarate dehydrogenase	Reactome
41768	Oxidative decarboxylation of alpha-keto-beta-methylvalerate to alpha-methylbutyryl-CoA by branched-chain alpha-ketoacid dehydrogenase	Reactome
41769	Synthesis of deoxyribonucleoside 5'-diphosphates from ribonucleoside 5'-diphosphates	Reactome
41770	Formation of the Early Elongation Complex	Reactome
41771	Eukaryotic Translation Elongation	Reactome
41772	Resolution of AP sites via the multiple-nucleotide patch replacement pathway	Reactome
41773	Hydrolases	Reactome
41774	Resolution of Abasic Sites (AP sites)	Reactome
41775	NFG and proNGF binds to p75NTR	Reactome
41776	Chaperonin-mediated protein folding	Reactome
41777	Regulation of Insulin Secretion by Glucagon-like Peptide-1	Reactome
41778	APC/C:Cdc20 mediated degradation of mitotic proteins	Reactome
41779	Abortive elongation of HIV-1 transcript in the absence of Tat	Reactome
